DRV10983ZPWP;DA261   
CAP-0603_10u_10%_X5R_10V;C750   
CAP-0603_10u_10%_X5R_10V;C650   
CAP-0603_10u_10%_X5R_10V;C751   
CAP-0603_10u_10%_X5R_10V;C550   
CAP-0603_10u_10%_X5R_10V;C651   
CAP-0603_10u_10%_X5R_10V;C450   
CAP-0603_10u_10%_X5R_10V;C551   
CAP-0603_10u_10%_X5R_10V;C451   
CAP-0603_10u_10%_X5R_10V;C350   
CAP-0603_10u_10%_X5R_10V;C351   
CAP-0603_10u_10%_X5R_10V;C250   
CAP-0603_10u_10%_X5R_10V;C251   
CAP-0603_10u_10%_X5R_10V;C771   
CAP-0603_10u_10%_X5R_10V;C671   
CAP-0603_10u_10%_X5R_10V;C571   
CAP-0603_10u_10%_X5R_10V;C471   
CAP-0603_10u_10%_X5R_10V;C371   
CAP-0603_10u_10%_X5R_10V;C271   
CAP-0603_10u_10%_X5R_10V;C306   
CAP-0603_10u_10%_X5R_10V;C406   
CAP-0603_10u_10%_X5R_10V;C506   
CAP-0603_10u_10%_X5R_10V;C206   
CAP-0603_10u_10%_X5R_10V;C706   
CAP-0603_10u_10%_X5R_10V;C606   
CAP-0603_10u_10%_X5R_10V;C205   
CAP-0603_10u_10%_X5R_10V;C305   
CAP-0603_10u_10%_X5R_10V;C405   
CAP-0603_10u_10%_X5R_10V;C705   
CAP-0603_10u_10%_X5R_10V;C605   
CAP-0603_10u_10%_X5R_10V;C505   
CAP-0603_10u_10%_X5R_10V;C761   
CAP-0603_10u_10%_X5R_10V;C661   
CAP-0603_10u_10%_X5R_10V;C561   
CAP-0603_10u_10%_X5R_10V;C461   
CAP-0603_10u_10%_X5R_10V;C361   
CAP-0603_10u_10%_X5R_10V;C261   
LTC3130IMSE;DA762   
LTC3130IMSE;DA662   
LTC3130IMSE;DA562   
LTC3130IMSE;DA462   
LTC3130IMSE;DA362   
LTC3130IMSE;DA262   
CAP-0805_10u_10%_X7R_25V;C268   
CAP-0805_10u_10%_X7R_25V;C768   
CAP-0805_10u_10%_X7R_25V;C668   
CAP-0805_10u_10%_X7R_25V;C568   
CAP-0805_10u_10%_X7R_25V;C468   
CAP-0805_10u_10%_X7R_25V;C368   
CAP-0805_10u_10%_X7R_25V;C274   
CAP-0805_10u_10%_X7R_25V;C774   
CAP-0805_10u_10%_X7R_25V;C674   
CAP-0805_10u_10%_X7R_25V;C574   
CAP-0805_10u_10%_X7R_25V;C474   
CAP-0805_10u_10%_X7R_25V;C374   
CAP-0402_1.0u_X5R_10V;C764   
CAP-0402_1.0u_X5R_10V;C664   
CAP-0402_1.0u_X5R_10V;C564   
CAP-0402_1.0u_X5R_10V;C464   
CAP-0402_1.0u_X5R_10V;C364   
CAP-0402_1.0u_X5R_10V;C763   
CAP-0402_1.0u_X5R_10V;C663   
CAP-0402_1.0u_X5R_10V;C563   
CAP-0402_1.0u_X5R_10V;C463   
CAP-0402_1.0u_X5R_10V;C363   
CAP-0402_1.0u_X5R_10V;C263   
CAP-0402_1.0u_X5R_10V;C264   
CAP-0402_1.0u_X5R_10V;C210   
CAP-0402_1.0u_X5R_10V;C310   
CAP-0402_1.0u_X5R_10V;C410   
CAP-0402_1.0u_X5R_10V;C710   
CAP-0402_1.0u_X5R_10V;C610   
CAP-0402_1.0u_X5R_10V;C510   
CAP-0402_22n_10%_X7R_16V;C770   
CAP-0402_22n_10%_X7R_16V;C670   
CAP-0402_22n_10%_X7R_16V;C570   
CAP-0402_22n_10%_X7R_16V;C470   
CAP-0402_22n_10%_X7R_16V;C370   
CAP-0402_22n_10%_X7R_16V;C270   
CAP-0402_22n_10%_X7R_16V;C772   
CAP-0402_22n_10%_X7R_16V;C672   
CAP-0402_22n_10%_X7R_16V;C572   
CAP-0402_22n_10%_X7R_16V;C472   
CAP-0402_22n_10%_X7R_16V;C372   
CAP-0402_22n_10%_X7R_16V;C272   
RES-0402_2.74M_1%;R262   
RES-0402_2.74M_1%;R762   
RES-0402_2.74M_1%;R662   
RES-0402_2.74M_1%;R562   
RES-0402_2.74M_1%;R462   
RES-0402_2.74M_1%;R362   
RES-0402_249k_1%;R263   
RES-0402_249k_1%;R663   
RES-0402_249k_1%;R563   
RES-0402_249k_1%;R463   
RES-0402_249k_1%;R742   
RES-0402_249k_1%;R642   
RES-0402_249k_1%;R542   
RES-0402_249k_1%;R442   
RES-0402_249k_1%;R342   
RES-0402_249k_1%;R242   
RES-0402_249k_1%;R763   
RES-0402_249k_1%;R363   
RES-0402_249k_1%;R764   
RES-0402_249k_1%;R664   
RES-0402_249k_1%;R564   
RES-0402_249k_1%;R464   
RES-0402_249k_1%;R364   
RES-0402_249k_1%;R264   
RES-0402_33_5%;R761   
RES-0402_33_5%;R661   
RES-0402_33_5%;R561   
RES-0402_33_5%;R461   
RES-0402_33_5%;R361   
RES-0402_33_5%;R261   
RES-0402_1.00M_1%;R202   
RES-0402_1.00M_1%;R302   
RES-0402_1.00M_1%;R402   
RES-0402_1.00M_1%;R702   
RES-0402_1.00M_1%;R602   
RES-0402_1.00M_1%;R502   
RES-0402_1.00M_1%;R765   
RES-0402_1.00M_1%;R665   
RES-0402_1.00M_1%;R565   
RES-0402_1.00M_1%;R465   
RES-0402_1.00M_1%;R365   
RES-0402_1.00M_1%;R265   
CAP-0402_10p_5%_NP0_50V;C773   
CAP-0402_10p_5%_NP0_50V;C673   
CAP-0402_10p_5%_NP0_50V;C573   
CAP-0402_10p_5%_NP0_50V;C473   
CAP-0402_10p_5%_NP0_50V;C373   
CAP-0402_10p_5%_NP0_50V;C273   
BM08B-SRSS-TB;XP761   
BM08B-SRSS-TB;XP661   
BM08B-SRSS-TB;XP561   
BM08B-SRSS-TB;XP261   
BM08B-SRSS-TB;XP361   
BM08B-SRSS-TB;XP461   
LQH3NPN100MME;L761   
LQH3NPN100MME;L661   
LQH3NPN100MME;L561   
LQH3NPN100MME;L461   
LQH3NPN100MME;L361   
LQH3NPN100MME;L261   
EMIF02-02OABRY;VD102   
EMIF02-02OABRY;VD101   
DLW21SN921SK2;ZC102   
DLW21SN921SK2;ZC101   
STM32F405RGT;DD342-- STM32F412RGT
STM32F405RGT;DD742-- STM32F412RGT
STM32F405RGT;DD642-- STM32F412RGT   
STM32F405RGT;DD542-- STM32F412RGT
STM32F405RGT;DD442-- STM32F412RGT   
STM32F405RGT;DD242-- STM32F412RGT   
SMD03225C4-4-25.000MHz;ZQ341   
SMD03225C4-4-25.000MHz;ZQ241   
SMD03225C4-4-25.000MHz;ZQ741   
SMD03225C4-4-25.000MHz;ZQ641   
SMD03225C4-4-25.000MHz;ZQ541   
SMD03225C4-4-25.000MHz;ZQ441   
RESA-0804V-4x_10.0k_5%;RA341   
RESA-0804V-4x_10.0k_5%;RA741   
RESA-0804V-4x_10.0k_5%;RA641   
RESA-0804V-4x_10.0k_5%;RA541   
RESA-0804V-4x_10.0k_5%;RA441   
RESA-0804V-4x_10.0k_5%;RA241   
RESA-0804V-4x_10.0k_5%;RA543   
RESA-0804V-4x_10.0k_5%;RA743   
